Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-04-18,V-04-445487,HD Externo 2TB,Sul,1,434.93,Acessórios,434.93
2024-04-02,V-04-356364,Laptop X1,Sul,2,225.82,Eletrônicos,451.64
2024-04-23,V-04-158578,Webcam HD,Nordeste,5,42.7,Acessórios,213.5
2024-04-30,V-04-829551,Teclado Mecânico,Centro-Oeste,2,3284.14,Periféricos,6568.28
2024-04-25,V-04-712990,Monitor 4K,Sul,1,254.97,Eletrônicos,254.97
2024-04-12,V-04-927065,Mouse Óptico,Sudeste,5,2715.28,Periféricos,13576.4
2024-04-17,V-04-424346,Fones Bluetooth,Sudeste,7,3259.6,Acessórios,22817.2
2024-04-28,V-04-967650,Monitor 4K,Centro-Oeste,2,2495.82,Eletrônicos,4991.64
2024-04-06,V-04-229601,Teclado Mecânico,Sudeste,9,113.48,Periféricos,1021.32
2024-04-25,V-04-112702,Webcam HD,Centro-Oeste,2,1048.84,Acessórios,2097.68
2024-04-17,V-04-132534,Mouse Óptico,Nordeste,5,3468.44,Periféricos,17342.2
2024-04-09,V-04-930305,Webcam HD,Sudeste,6,1172.39,Acessórios,7034.34
2024-04-04,V-04-188591,Fones Bluetooth,Sudeste,7,1618.36,Acessórios,11328.52
2024-04-26,V-04-168650,Monitor 4K,Sudeste,6,2669.94,Eletrônicos,16019.64
2024-04-21,V-04-692359,Laptop X1,Sul,1,3486.14,Eletrônicos,3486.14
2024-04-04,V-04-299054,HD Externo 2TB,Nordeste,5,3078.88,Acessórios,15394.4
2024-04-07,V-04-311763,Laptop X1,Sudeste,5,2150.07,Eletrônicos,10750.35
2024-04-29,V-04-253307,Teclado Mecânico,Centro-Oeste,10,1756.86,Periféricos,17568.6
2024-04-19,V-04-359089,Monitor 4K,Sudeste,3,2594.09,Eletrônicos,7782.27
2024-04-19,V-04-274602,Monitor 4K,Sul,2,1939.86,Eletrônicos,3879.72
2024-04-16,V-04-571696,Laptop X1,Nordeste,6,1361.01,Eletrônicos,8166.06
2024-04-17,V-04-726538,Monitor 4K,Centro-Oeste,3,921.9,Eletrônicos,2765.7
2024-04-15,V-04-241647,Laptop X1,Sudeste,2,3130.66,Eletrônicos,6261.32
2024-04-29,V-04-428322,Fones Bluetooth,Sudeste,10,3388.96,Acessórios,33889.6
2024-04-23,V-04-334559,Teclado Mecânico,Sudeste,2,2413.54,Periféricos,4827.08
2024-04-14,V-04-970017,Teclado Mecânico,Sudeste,6,338.95,Periféricos,2033.7
2024-04-10,V-04-385599,Teclado Mecânico,Sudeste,3,196.04,Periféricos,588.12
2024-04-04,V-04-758484,Mouse Óptico,Centro-Oeste,7,1251.9,Periféricos,8763.3
2024-04-09,V-04-415600,Monitor 4K,Centro-Oeste,8,1478.91,Eletrônicos,11831.28
2024-04-03,V-04-202122,Fones Bluetooth,Sul,2,2247.01,Acessórios,4494.02
2024-04-02,V-04-312772,Laptop X1,Sul,4,2112.7,Eletrônicos,8450.8
2024-04-13,V-04-707366,Teclado Mecânico,Sul,8,1132.49,Periféricos,9059.92
2024-04-24,V-04-188269,Teclado Mecânico,Sul,7,2974.14,Periféricos,20818.98
2024-04-30,V-04-882775,Monitor 4K,Nordeste,4,1880.19,Eletrônicos,7520.76
2024-04-07,V-04-939698,HD Externo 2TB,Sul,4,2166.86,Acessórios,8667.44
2024-04-14,V-04-952660,Fones Bluetooth,Sul,6,3197.64,Acessórios,19185.84
2024-04-30,V-04-193109,Fones Bluetooth,Sul,1,526.24,Acessórios,526.24
2024-04-02,V-04-580459,Teclado Mecânico,Sudeste,8,2098.84,Periféricos,16790.72
2024-04-22,V-04-415995,Teclado Mecânico,Sudeste,8,455.35,Periféricos,3642.8
2024-04-03,V-04-990196,Teclado Mecânico,Sudeste,9,811.7,Periféricos,7305.3
2024-04-12,V-04-125411,Teclado Mecânico,Norte,7,2417.85,Periféricos,16924.95
2024-04-07,V-04-451915,Webcam HD,Nordeste,6,852.71,Acessórios,5116.26
2024-04-11,V-04-677013,Monitor 4K,Sul,7,2052.57,Eletrônicos,14367.99
2024-04-24,V-04-792319,Fones Bluetooth,Centro-Oeste,1,2552.72,Acessórios,2552.72
2024-04-02,V-04-628859,Monitor 4K,Sudeste,2,1591.23,Eletrônicos,3182.46
2024-04-10,V-04-445548,Monitor 4K,Sudeste,8,1668.09,Eletrônicos,13344.72
2024-04-24,V-04-129475,Fones Bluetooth,Centro-Oeste,5,2587.64,Acessórios,12938.2
2024-04-15,V-04-685677,HD Externo 2TB,Centro-Oeste,6,897.63,Acessórios,5385.78
2024-04-21,V-04-604234,Mouse Óptico,Sudeste,10,1889.17,Periféricos,18891.7
2024-04-28,V-04-232597,Mouse Óptico,Sudeste,2,1967.71,Periféricos,3935.42
2024-04-17,V-04-421383,Teclado Mecânico,Sudeste,10,713.07,Periféricos,7130.7
2024-04-22,V-04-475993,Laptop X1,Sudeste,4,1532.97,Eletrônicos,6131.88
2024-04-26,V-04-406928,Monitor 4K,Norte,6,2093.7,Eletrônicos,12562.2
2024-04-02,V-04-380764,Teclado Mecânico,Nordeste,8,786.71,Periféricos,6293.68
2024-04-01,V-04-664512,Monitor 4K,Nordeste,9,1540.34,Eletrônicos,13863.06
2024-04-30,V-04-285840,Fones Bluetooth,Sudeste,5,389.59,Acessórios,1947.95
2024-04-09,V-04-795039,HD Externo 2TB,Nordeste,9,1918.27,Acessórios,17264.43
2024-04-23,V-04-257427,Laptop X1,Centro-Oeste,8,3149.49,Eletrônicos,25195.92
2024-04-06,V-04-517703,Teclado Mecânico,Sudeste,3,1857.6,Periféricos,5572.8
2024-04-20,V-04-468715,Fones Bluetooth,Sudeste,9,1275.14,Acessórios,11476.26
2024-04-02,V-04-804498,Monitor 4K,Sudeste,8,2813.58,Eletrônicos,22508.64
2024-04-11,V-04-449110,Teclado Mecânico,Nordeste,4,396.17,Periféricos,1584.68
2024-04-29,V-04-559904,Fones Bluetooth,Sudeste,5,1995.15,Acessórios,9975.75
2024-04-02,V-04-725157,Webcam HD,Sul,10,816.9,Acessórios,8169.0
2024-04-09,V-04-436363,Teclado Mecânico,Sul,10,269.13,Periféricos,2691.3
2024-04-02,V-04-145169,Fones Bluetooth,Sul,9,833.84,Acessórios,7504.56
2024-04-17,V-04-877415,Monitor 4K,Sul,2,1003.74,Eletrônicos,2007.48
2024-04-09,V-04-707903,Monitor 4K,Sul,9,2872.93,Eletrônicos,25856.37
2024-04-10,V-04-600864,Mouse Óptico,Centro-Oeste,7,2781.14,Periféricos,19467.98
2024-04-11,V-04-103572,Webcam HD,Centro-Oeste,10,2923.07,Acessórios,29230.7
2024-04-24,V-04-607867,Laptop X1,Sudeste,5,1726.75,Eletrônicos,8633.75
2024-04-06,V-04-437683,Monitor 4K,Sul,4,3117.2,Eletrônicos,12468.8
2024-04-14,V-04-926840,Webcam HD,Sudeste,8,607.11,Acessórios,4856.88
2024-04-07,V-04-676452,Laptop X1,Sul,9,1397.98,Eletrônicos,12581.82
2024-04-22,V-04-313284,HD Externo 2TB,Sul,9,2186.77,Acessórios,19680.93
2024-04-04,V-04-374949,Teclado Mecânico,Sudeste,5,718.53,Periféricos,3592.65
2024-04-30,V-04-443785,Fones Bluetooth,Sudeste,8,1340.18,Acessórios,10721.44
2024-04-04,V-04-853368,Laptop X1,Sudeste,7,2987.75,Eletrônicos,20914.25
2024-04-01,V-04-650406,HD Externo 2TB,Nordeste,1,1589.1,Acessórios,1589.1
2024-04-12,V-04-888172,Laptop X1,Sul,4,2779.16,Eletrônicos,11116.64
2024-04-16,V-04-709365,Monitor 4K,Sudeste,4,471.64,Eletrônicos,1886.56
2024-04-24,V-04-752060,Laptop X1,Norte,10,2607.97,Eletrônicos,26079.7
2024-04-03,V-04-691554,Laptop X1,Sudeste,6,169.12,Eletrônicos,1014.72
2024-04-27,V-04-570604,Laptop X1,Nordeste,3,3009.66,Eletrônicos,9028.98
2024-04-09,V-04-373265,Monitor 4K,Norte,2,2182.35,Eletrônicos,4364.7
2024-04-28,V-04-531555,Laptop X1,Sul,6,1065.68,Eletrônicos,6394.08
2024-04-19,V-04-637799,Teclado Mecânico,Nordeste,7,413.88,Periféricos,2897.16
2024-04-13,V-04-977244,Webcam HD,Sudeste,9,2649.85,Acessórios,23848.65
2024-04-01,V-04-726834,Monitor 4K,Norte,2,802.75,Eletrônicos,1605.5
2024-04-22,V-04-472646,Teclado Mecânico,Norte,8,1488.85,Periféricos,11910.8
2024-04-23,V-04-328683,Laptop X1,Sudeste,6,2913.87,Eletrônicos,17483.22
2024-04-19,V-04-300588,Laptop X1,Sudeste,8,799.77,Eletrônicos,6398.16
2024-04-15,V-04-998511,HD Externo 2TB,Norte,3,2841.01,Acessórios,8523.03
2024-04-28,V-04-201612,Teclado Mecânico,Centro-Oeste,4,240.27,Periféricos,961.08
2024-04-14,V-04-889812,Fones Bluetooth,Sul,5,1200.43,Acessórios,6002.15
2024-04-06,V-04-727921,Mouse Óptico,Centro-Oeste,3,770.63,Periféricos,2311.89
2024-04-29,V-04-664159,Teclado Mecânico,Sul,7,1725.32,Periféricos,12077.24
2024-04-03,V-04-829687,Mouse Óptico,Centro-Oeste,10,1396.33,Periféricos,13963.3
2024-04-10,V-04-567625,Teclado Mecânico,Nordeste,10,2607.61,Periféricos,26076.1
2024-04-06,V-04-728603,Monitor 4K,Nordeste,1,2735.32,Eletrônicos,2735.32
2024-04-01,V-04-905152,Laptop X1,Sudeste,7,1648.1,Eletrônicos,11536.7
2024-04-11,V-04-610744,Laptop X1,Sul,9,304.77,Eletrônicos,2742.93
2024-04-26,V-04-768611,Monitor 4K,Sudeste,6,3468.62,Eletrônicos,20811.72
2024-04-24,V-04-643124,Laptop X1,Sudeste,6,2645.16,Eletrônicos,15870.96
2024-04-27,V-04-128211,Fones Bluetooth,Centro-Oeste,8,2728.6,Acessórios,21828.8
2024-04-20,V-04-311460,Laptop X1,Sul,2,3208.77,Eletrônicos,6417.54
2024-04-15,V-04-729518,HD Externo 2TB,Sul,9,3404.39,Acessórios,30639.51
2024-04-10,V-04-306564,Teclado Mecânico,Centro-Oeste,4,1114.71,Periféricos,4458.84
2024-04-15,V-04-941464,Mouse Óptico,Sudeste,7,3169.83,Periféricos,22188.81
2024-04-02,V-04-217674,Teclado Mecânico,Sudeste,8,1205.84,Periféricos,9646.72
2024-04-18,V-04-583948,Teclado Mecânico,Norte,1,703.83,Periféricos,703.83
2024-04-13,V-04-709061,Mouse Óptico,Nordeste,2,997.57,Periféricos,1995.14
2024-04-28,V-04-852777,Monitor 4K,Sudeste,2,2845.06,Eletrônicos,5690.12
2024-04-04,V-04-385457,Mouse Óptico,Sudeste,2,1377.24,Periféricos,2754.48
2024-04-03,V-04-657008,Monitor 4K,Centro-Oeste,7,3109.52,Eletrônicos,21766.64
2024-04-04,V-04-914341,Monitor 4K,Norte,2,3206.79,Eletrônicos,6413.58
2024-04-30,V-04-787814,HD Externo 2TB,Sudeste,9,44.47,Acessórios,400.23
2024-04-14,V-04-521932,HD Externo 2TB,Sul,2,1245.25,Acessórios,2490.5
2024-04-13,V-04-883337,Fones Bluetooth,Sudeste,9,59.58,Acessórios,536.22
2024-04-18,V-04-409278,Mouse Óptico,Nordeste,3,55.31,Periféricos,165.93
2024-04-20,V-04-165052,Fones Bluetooth,Sudeste,9,1238.87,Acessórios,11149.83
