Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-12-17,V-12-496670,HD Externo 2TB,Nordeste,5,1051.02,Acessórios,5255.1
2024-12-23,V-12-190762,Fones Bluetooth,Sudeste,3,2433.81,Acessórios,7301.43
2024-12-25,V-12-919934,Webcam HD,Sudeste,3,3041.69,Acessórios,9125.07
2024-12-04,V-12-538635,Fones Bluetooth,Nordeste,8,1416.3,Acessórios,11330.4
2024-12-26,V-12-993569,Teclado Mecânico,Sul,6,3317.87,Periféricos,19907.22
2024-12-28,V-12-563090,Laptop X1,Sul,3,51.2,Eletrônicos,153.6
2024-12-26,V-12-511398,Laptop X1,Sudeste,9,1318.27,Eletrônicos,11864.43
2024-12-17,V-12-910912,HD Externo 2TB,Centro-Oeste,9,1726.6,Acessórios,15539.4
2024-12-03,V-12-457184,Teclado Mecânico,Nordeste,1,2655.6,Periféricos,2655.6
2024-12-08,V-12-499358,Fones Bluetooth,Norte,3,395.19,Acessórios,1185.57
2024-12-27,V-12-219549,Laptop X1,Sudeste,1,1998.36,Eletrônicos,1998.36
2024-12-17,V-12-243820,Monitor 4K,Sudeste,10,492.84,Eletrônicos,4928.4
2024-12-02,V-12-988111,Monitor 4K,Sudeste,6,2572.23,Eletrônicos,15433.38
2024-12-11,V-12-288888,Teclado Mecânico,Sul,6,1524.91,Periféricos,9149.46
2024-12-11,V-12-621384,Mouse Óptico,Sudeste,8,2729.75,Periféricos,21838.0
2024-12-30,V-12-586451,Laptop X1,Centro-Oeste,3,2883.35,Eletrônicos,8650.05
2024-12-08,V-12-560960,Fones Bluetooth,Sul,5,952.39,Acessórios,4761.95
2024-12-30,V-12-293154,Mouse Óptico,Centro-Oeste,10,317.72,Periféricos,3177.2
2024-12-08,V-12-796306,Laptop X1,Nordeste,5,876.27,Eletrônicos,4381.35
2024-12-04,V-12-227711,Laptop X1,Sul,1,859.26,Eletrônicos,859.26
2024-12-14,V-12-105662,Webcam HD,Centro-Oeste,9,1862.58,Acessórios,16763.22
2024-12-13,V-12-688595,Fones Bluetooth,Sudeste,9,1160.66,Acessórios,10445.94
2024-12-04,V-12-645249,Laptop X1,Centro-Oeste,8,2801.08,Eletrônicos,22408.64
2024-12-03,V-12-466445,Webcam HD,Centro-Oeste,1,1305.18,Acessórios,1305.18
2024-12-12,V-12-157979,Monitor 4K,Sudeste,6,1299.51,Eletrônicos,7797.06
2024-12-04,V-12-381704,Laptop X1,Nordeste,5,2706.51,Eletrônicos,13532.55
2024-12-31,V-12-933693,Laptop X1,Sul,4,1809.29,Eletrônicos,7237.16
2024-12-19,V-12-788151,Laptop X1,Sudeste,10,2792.55,Eletrônicos,27925.5
2024-12-02,V-12-453567,Laptop X1,Sul,5,2770.79,Eletrônicos,13853.95
2024-12-03,V-12-275236,Mouse Óptico,Sudeste,2,2994.36,Periféricos,5988.72
2024-12-11,V-12-342275,Fones Bluetooth,Centro-Oeste,7,2251.95,Acessórios,15763.65
2024-12-23,V-12-640408,Teclado Mecânico,Centro-Oeste,2,2300.96,Periféricos,4601.92
2024-12-18,V-12-258999,Teclado Mecânico,Sul,7,840.63,Periféricos,5884.41
2024-12-09,V-12-117723,HD Externo 2TB,Sudeste,7,1362.7,Acessórios,9538.9
2024-12-07,V-12-657825,HD Externo 2TB,Sudeste,6,279.14,Acessórios,1674.84
2024-12-31,V-12-239443,Monitor 4K,Norte,1,540.18,Eletrônicos,540.18
2024-12-02,V-12-347527,Teclado Mecânico,Nordeste,3,1506.09,Periféricos,4518.27
2024-12-04,V-12-640429,Monitor 4K,Sul,2,2315.13,Eletrônicos,4630.26
2024-12-12,V-12-382105,Monitor 4K,Sudeste,10,2293.3,Eletrônicos,22933.0
2024-12-03,V-12-924706,Monitor 4K,Sudeste,8,587.12,Eletrônicos,4696.96
2024-12-31,V-12-562624,HD Externo 2TB,Sudeste,2,2323.22,Acessórios,4646.44
2024-12-18,V-12-110406,Fones Bluetooth,Norte,7,840.87,Acessórios,5886.09
2024-12-06,V-12-325860,Laptop X1,Sudeste,4,608.5,Eletrônicos,2434.0
2024-12-17,V-12-125648,Monitor 4K,Sudeste,4,1294.25,Eletrônicos,5177.0
2024-12-03,V-12-737985,Fones Bluetooth,Sudeste,9,281.0,Acessórios,2529.0
2024-12-08,V-12-622041,Webcam HD,Centro-Oeste,2,361.06,Acessórios,722.12
2024-12-24,V-12-813201,Fones Bluetooth,Centro-Oeste,2,676.74,Acessórios,1353.48
2024-12-22,V-12-616640,Laptop X1,Centro-Oeste,3,702.15,Eletrônicos,2106.45
2024-12-22,V-12-734048,Laptop X1,Centro-Oeste,5,885.51,Eletrônicos,4427.55
2024-12-24,V-12-781155,Teclado Mecânico,Sudeste,5,2343.81,Periféricos,11719.05
2024-12-01,V-12-105292,Fones Bluetooth,Centro-Oeste,9,3117.71,Acessórios,28059.39
2024-12-07,V-12-353816,HD Externo 2TB,Sudeste,10,1793.18,Acessórios,17931.8
2024-12-04,V-12-423025,HD Externo 2TB,Sudeste,6,1958.23,Acessórios,11749.38
2024-12-12,V-12-436518,Laptop X1,Sul,9,1090.69,Eletrônicos,9816.21
2024-12-11,V-12-315994,Monitor 4K,Sudeste,2,3250.01,Eletrônicos,6500.02
2024-12-09,V-12-612433,Monitor 4K,Sudeste,4,2181.86,Eletrônicos,8727.44
2024-12-22,V-12-771036,Webcam HD,Sudeste,7,1892.2,Acessórios,13245.4
2024-12-25,V-12-509433,Webcam HD,Norte,1,1084.98,Acessórios,1084.98
2024-12-19,V-12-521307,Monitor 4K,Norte,9,3184.43,Eletrônicos,28659.87
2024-12-23,V-12-255684,Laptop X1,Sul,1,877.21,Eletrônicos,877.21
2024-12-01,V-12-195592,HD Externo 2TB,Sudeste,1,1752.84,Acessórios,1752.84
2024-12-10,V-12-310215,HD Externo 2TB,Sudeste,9,2550.01,Acessórios,22950.09
2024-12-07,V-12-830718,Webcam HD,Sul,2,1213.51,Acessórios,2427.02
