Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-10-02,V-10-902057,Webcam HD,Sul,8,1724.22,Acessórios,13793.76
2024-10-10,V-10-594199,HD Externo 2TB,Sul,6,447.53,Acessórios,2685.18
2024-10-08,V-10-917743,Mouse Óptico,Norte,8,259.09,Periféricos,2072.72
2024-10-02,V-10-859847,Fones Bluetooth,Sul,5,1918.32,Acessórios,9591.6
2024-10-30,V-10-824880,Fones Bluetooth,Sul,3,2886.54,Acessórios,8659.62
2024-10-06,V-10-376267,Mouse Óptico,Norte,5,3033.69,Periféricos,15168.45
2024-10-23,V-10-292655,Mouse Óptico,Sul,7,2291.34,Periféricos,16039.38
2024-10-06,V-10-393959,Laptop X1,Sudeste,6,2559.77,Eletrônicos,15358.62
2024-10-10,V-10-717427,Laptop X1,Sul,1,1841.61,Eletrônicos,1841.61
2024-10-15,V-10-804231,Mouse Óptico,Nordeste,7,2692.35,Periféricos,18846.45
2024-10-20,V-10-696415,Mouse Óptico,Nordeste,8,2208.87,Periféricos,17670.96
2024-10-27,V-10-895154,Monitor 4K,Sudeste,5,34.33,Eletrônicos,171.65
2024-10-23,V-10-766012,Fones Bluetooth,Sudeste,8,2870.48,Acessórios,22963.84
2024-10-12,V-10-396664,Mouse Óptico,Sul,1,2568.06,Periféricos,2568.06
2024-10-01,V-10-380613,Mouse Óptico,Norte,8,3210.24,Periféricos,25681.92
2024-10-15,V-10-857246,Laptop X1,Nordeste,5,826.35,Eletrônicos,4131.75
2024-10-09,V-10-837305,Fones Bluetooth,Centro-Oeste,5,3127.25,Acessórios,15636.25
2024-10-11,V-10-850869,Fones Bluetooth,Sudeste,9,3338.24,Acessórios,30044.16
2024-10-13,V-10-753569,HD Externo 2TB,Sudeste,8,2967.56,Acessórios,23740.48
2024-10-28,V-10-115448,Monitor 4K,Centro-Oeste,4,3090.52,Eletrônicos,12362.08
2024-10-07,V-10-742105,Laptop X1,Sudeste,6,783.6,Eletrônicos,4701.6
2024-10-18,V-10-378374,Laptop X1,Centro-Oeste,7,2738.37,Eletrônicos,19168.59
2024-10-24,V-10-648010,Mouse Óptico,Nordeste,1,938.91,Periféricos,938.91
2024-10-09,V-10-906948,Teclado Mecânico,Sul,4,299.76,Periféricos,1199.04
2024-10-23,V-10-420021,Mouse Óptico,Sudeste,4,1742.58,Periféricos,6970.32
2024-10-08,V-10-729491,Mouse Óptico,Sudeste,2,1420.3,Periféricos,2840.6
2024-10-29,V-10-105203,Monitor 4K,Sudeste,2,2002.9,Eletrônicos,4005.8
2024-10-18,V-10-846735,Webcam HD,Sul,7,563.0,Acessórios,3941.0
2024-10-23,V-10-784458,Monitor 4K,Nordeste,8,2555.83,Eletrônicos,20446.64
2024-10-13,V-10-723700,Laptop X1,Sudeste,4,1687.91,Eletrônicos,6751.64
2024-10-08,V-10-601809,Teclado Mecânico,Sul,9,1344.01,Periféricos,12096.09
2024-10-01,V-10-727361,Webcam HD,Centro-Oeste,1,3433.15,Acessórios,3433.15
2024-10-17,V-10-621175,Mouse Óptico,Nordeste,10,2709.12,Periféricos,27091.2
2024-10-04,V-10-796782,Mouse Óptico,Norte,2,1834.06,Periféricos,3668.12
2024-10-25,V-10-939089,Monitor 4K,Norte,1,2911.67,Eletrônicos,2911.67
2024-10-06,V-10-362084,Laptop X1,Centro-Oeste,6,1180.78,Eletrônicos,7084.68
2024-10-04,V-10-151521,Monitor 4K,Centro-Oeste,1,382.22,Eletrônicos,382.22
2024-10-26,V-10-319816,Teclado Mecânico,Sul,4,1177.52,Periféricos,4710.08
2024-10-20,V-10-215471,Monitor 4K,Nordeste,2,2584.05,Eletrônicos,5168.1
2024-10-04,V-10-564909,Monitor 4K,Sudeste,4,2149.26,Eletrônicos,8597.04
2024-10-05,V-10-300269,Monitor 4K,Sudeste,4,3266.4,Eletrônicos,13065.6
2024-10-03,V-10-571011,Laptop X1,Nordeste,10,2237.0,Eletrônicos,22370.0
2024-10-13,V-10-201248,Monitor 4K,Nordeste,6,1138.48,Eletrônicos,6830.88
2024-10-01,V-10-915080,Laptop X1,Sudeste,3,114.82,Eletrônicos,344.46
2024-10-08,V-10-420997,HD Externo 2TB,Nordeste,2,1621.02,Acessórios,3242.04
2024-10-09,V-10-221722,Fones Bluetooth,Sudeste,8,381.55,Acessórios,3052.4
2024-10-06,V-10-776872,HD Externo 2TB,Nordeste,1,1686.55,Acessórios,1686.55
2024-10-03,V-10-923273,Webcam HD,Nordeste,5,2698.51,Acessórios,13492.55
2024-10-02,V-10-139459,Monitor 4K,Sul,6,506.68,Eletrônicos,3040.08
2024-10-28,V-10-563277,HD Externo 2TB,Norte,5,2205.8,Acessórios,11029.0
2024-10-26,V-10-520498,HD Externo 2TB,Nordeste,6,1098.69,Acessórios,6592.14
2024-10-31,V-10-855553,Laptop X1,Sul,1,1720.94,Eletrônicos,1720.94
2024-10-21,V-10-210488,HD Externo 2TB,Sudeste,4,2188.71,Acessórios,8754.84
2024-10-04,V-10-788015,Laptop X1,Sul,5,2177.06,Eletrônicos,10885.3
2024-10-07,V-10-142751,Fones Bluetooth,Sudeste,4,2605.59,Acessórios,10422.36
2024-10-31,V-10-699470,Laptop X1,Nordeste,9,3271.96,Eletrônicos,29447.64
2024-10-29,V-10-131322,HD Externo 2TB,Sudeste,1,554.95,Acessórios,554.95
2024-10-09,V-10-641707,Teclado Mecânico,Nordeste,6,2615.61,Periféricos,15693.66
2024-10-17,V-10-981341,Webcam HD,Centro-Oeste,2,3174.86,Acessórios,6349.72
2024-10-21,V-10-683539,HD Externo 2TB,Sudeste,5,2314.9,Acessórios,11574.5
2024-10-26,V-10-536230,Teclado Mecânico,Sul,4,1432.86,Periféricos,5731.44
2024-10-03,V-10-625305,Laptop X1,Centro-Oeste,1,1187.29,Eletrônicos,1187.29
2024-10-19,V-10-763237,Fones Bluetooth,Sudeste,9,867.51,Acessórios,7807.59
2024-10-07,V-10-279259,Monitor 4K,Sul,2,1370.98,Eletrônicos,2741.96
2024-10-01,V-10-222285,Monitor 4K,Sul,3,52.64,Eletrônicos,157.92
2024-10-31,V-10-811331,Monitor 4K,Sudeste,6,2823.07,Eletrônicos,16938.42
2024-10-20,V-10-382691,Monitor 4K,Sudeste,1,2207.54,Eletrônicos,2207.54
2024-10-15,V-10-666155,HD Externo 2TB,Sul,4,1631.01,Acessórios,6524.04
2024-10-26,V-10-697825,Laptop X1,Centro-Oeste,6,755.17,Eletrônicos,4531.02
2024-10-01,V-10-146781,Teclado Mecânico,Sudeste,2,644.3,Periféricos,1288.6
2024-10-31,V-10-234362,Teclado Mecânico,Centro-Oeste,6,114.63,Periféricos,687.78
2024-10-06,V-10-743688,HD Externo 2TB,Sudeste,1,1195.57,Acessórios,1195.57
2024-10-18,V-10-672451,Laptop X1,Sudeste,1,813.43,Eletrônicos,813.43
2024-10-05,V-10-267399,Teclado Mecânico,Sul,9,1882.61,Periféricos,16943.49
