Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-08-13,V-08-851165,Monitor 4K,Norte,8,3055.8,Eletrônicos,24446.4
2024-08-17,V-08-266325,HD Externo 2TB,Sul,6,2254.72,Acessórios,13528.32
2024-08-26,V-08-897043,Fones Bluetooth,Centro-Oeste,7,866.13,Acessórios,6062.91
2024-08-29,V-08-878899,Fones Bluetooth,Sudeste,1,3178.47,Acessórios,3178.47
2024-08-02,V-08-943273,Fones Bluetooth,Centro-Oeste,7,1986.01,Acessórios,13902.07
2024-08-21,V-08-158138,Laptop X1,Sul,2,1027.22,Eletrônicos,2054.44
2024-08-14,V-08-883631,Teclado Mecânico,Centro-Oeste,6,227.15,Periféricos,1362.9
2024-08-22,V-08-778651,Laptop X1,Sudeste,7,1103.67,Eletrônicos,7725.69
2024-08-06,V-08-660471,Laptop X1,Sudeste,2,1962.7,Eletrônicos,3925.4
2024-08-08,V-08-392184,Teclado Mecânico,Nordeste,7,3341.7,Periféricos,23391.9
2024-08-25,V-08-813474,Laptop X1,Sul,5,1613.17,Eletrônicos,8065.85
2024-08-13,V-08-859375,Webcam HD,Sudeste,7,1741.46,Acessórios,12190.22
2024-08-25,V-08-483041,Monitor 4K,Sul,10,353.59,Eletrônicos,3535.9
2024-08-11,V-08-521300,Laptop X1,Sudeste,1,558.23,Eletrônicos,558.23
2024-08-27,V-08-230040,HD Externo 2TB,Nordeste,6,1976.9,Acessórios,11861.4
2024-08-08,V-08-309918,Teclado Mecânico,Sudeste,7,2391.12,Periféricos,16737.84
2024-08-06,V-08-784163,Mouse Óptico,Sudeste,1,3021.42,Periféricos,3021.42
2024-08-22,V-08-277864,Laptop X1,Centro-Oeste,3,2751.01,Eletrônicos,8253.03
2024-08-18,V-08-408583,Mouse Óptico,Sudeste,3,999.05,Periféricos,2997.15
2024-08-23,V-08-178645,Monitor 4K,Sudeste,10,3112.42,Eletrônicos,31124.2
2024-08-30,V-08-912683,HD Externo 2TB,Sudeste,9,2023.82,Acessórios,18214.38
2024-08-03,V-08-422651,Laptop X1,Norte,8,212.67,Eletrônicos,1701.36
