Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-02-02,V-02-582412,Teclado Mecânico,Sudeste,9,1518.87,Periféricos,13669.83
2024-02-01,V-02-758419,Mouse Óptico,Nordeste,9,172.48,Periféricos,1552.32
2024-02-13,V-02-368596,Laptop X1,Sudeste,7,2261.83,Eletrônicos,15832.81
2024-02-01,V-02-299457,Monitor 4K,Nordeste,9,1206.14,Eletrônicos,10855.26
2024-02-27,V-02-422435,Mouse Óptico,Centro-Oeste,10,89.81,Periféricos,898.1
2024-02-24,V-02-131520,HD Externo 2TB,Nordeste,6,1731.57,Acessórios,10389.42
2024-02-18,V-02-134203,Teclado Mecânico,Centro-Oeste,5,2504.94,Periféricos,12524.7
2024-02-21,V-02-955819,Mouse Óptico,Sudeste,4,1474.41,Periféricos,5897.64
2024-02-03,V-02-286551,Laptop X1,Nordeste,5,419.41,Eletrônicos,2097.05
2024-02-04,V-02-467965,Fones Bluetooth,Sul,2,2318.52,Acessórios,4637.04
2024-02-29,V-02-553683,HD Externo 2TB,Sul,5,158.34,Acessórios,791.7
2024-02-26,V-02-999950,Webcam HD,Sudeste,10,3003.7,Acessórios,30037.0
2024-02-20,V-02-544468,Laptop X1,Sudeste,10,3204.19,Eletrônicos,32041.9
2024-02-25,V-02-398656,Mouse Óptico,Sudeste,4,3011.73,Periféricos,12046.92
2024-02-08,V-02-553232,Teclado Mecânico,Sul,5,3474.74,Periféricos,17373.7
2024-02-21,V-02-651971,Mouse Óptico,Sudeste,10,2288.35,Periféricos,22883.5
2024-02-20,V-02-190078,Teclado Mecânico,Sudeste,10,1575.41,Periféricos,15754.1
2024-02-19,V-02-974848,Teclado Mecânico,Centro-Oeste,7,3344.53,Periféricos,23411.71
2024-02-18,V-02-413980,Webcam HD,Sul,2,3315.86,Acessórios,6631.72
2024-02-14,V-02-116309,Webcam HD,Norte,5,1883.2,Acessórios,9416.0
2024-02-18,V-02-530091,Laptop X1,Norte,8,2692.11,Eletrônicos,21536.88
2024-02-23,V-02-890982,Webcam HD,Sudeste,9,2677.8,Acessórios,24100.2
2024-02-02,V-02-308115,Monitor 4K,Centro-Oeste,10,1990.55,Eletrônicos,19905.5
2024-02-13,V-02-221361,Fones Bluetooth,Centro-Oeste,2,3279.9,Acessórios,6559.8
2024-02-16,V-02-764634,Laptop X1,Norte,7,1255.59,Eletrônicos,8789.13
2024-02-27,V-02-590752,Mouse Óptico,Centro-Oeste,8,1823.83,Periféricos,14590.64
2024-02-19,V-02-497854,Monitor 4K,Sudeste,8,1427.27,Eletrônicos,11418.16
2024-02-17,V-02-569910,HD Externo 2TB,Norte,5,1462.54,Acessórios,7312.7
2024-02-22,V-02-912501,Laptop X1,Sudeste,5,1312.02,Eletrônicos,6560.1
2024-02-07,V-02-634208,Teclado Mecânico,Sudeste,2,3346.31,Periféricos,6692.62
2024-02-03,V-02-813475,Mouse Óptico,Nordeste,10,1784.44,Periféricos,17844.4
2024-02-18,V-02-354494,Monitor 4K,Sul,9,3421.65,Eletrônicos,30794.85
2024-02-13,V-02-300771,Laptop X1,Sul,9,95.15,Eletrônicos,856.35
2024-02-04,V-02-432609,Teclado Mecânico,Sudeste,9,1418.05,Periféricos,12762.45
2024-02-21,V-02-840008,HD Externo 2TB,Sul,4,2334.78,Acessórios,9339.12
2024-02-17,V-02-933049,Laptop X1,Sul,2,582.22,Eletrônicos,1164.44
2024-02-25,V-02-487380,Teclado Mecânico,Sudeste,8,2443.54,Periféricos,19548.32
2024-02-05,V-02-507785,Mouse Óptico,Sul,2,2100.58,Periféricos,4201.16
