Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-01-17,V-01-532476,HD Externo 2TB,Sul,4,856.15,Acessórios,3424.6
2024-01-18,V-01-825552,Laptop X1,Nordeste,10,1965.75,Eletrônicos,19657.5
2024-01-23,V-01-246339,Webcam HD,Sudeste,1,2672.28,Acessórios,2672.28
2024-01-28,V-01-574617,Mouse Óptico,Sul,1,1968.09,Periféricos,1968.09
2024-01-04,V-01-362229,Mouse Óptico,Sul,7,3442.76,Periféricos,24099.32
2024-01-06,V-01-238079,Teclado Mecânico,Norte,1,470.47,Periféricos,470.47
2024-01-13,V-01-343006,Mouse Óptico,Sudeste,8,2017.93,Periféricos,16143.44
2024-01-08,V-01-726185,Mouse Óptico,Nordeste,4,478.34,Periféricos,1913.36
2024-01-10,V-01-483530,Teclado Mecânico,Sudeste,7,3170.67,Periféricos,22194.69
2024-01-01,V-01-653199,Webcam HD,Nordeste,8,1412.87,Acessórios,11302.96
2024-01-08,V-01-218340,Fones Bluetooth,Sudeste,5,499.96,Acessórios,2499.8
2024-01-04,V-01-434605,Mouse Óptico,Centro-Oeste,10,2805.03,Periféricos,28050.3
2024-01-19,V-01-441238,Mouse Óptico,Sul,3,2458.53,Periféricos,7375.59
2024-01-01,V-01-620653,Laptop X1,Sudeste,4,2309.67,Eletrônicos,9238.68
2024-01-04,V-01-252542,Monitor 4K,Sul,1,1322.16,Eletrônicos,1322.16
2024-01-06,V-01-105022,Fones Bluetooth,Sul,5,3043.31,Acessórios,15216.55
2024-01-25,V-01-182807,Fones Bluetooth,Nordeste,4,2451.27,Acessórios,9805.08
2024-01-17,V-01-525430,Fones Bluetooth,Sudeste,6,1948.76,Acessórios,11692.56
2024-01-23,V-01-765772,Teclado Mecânico,Sudeste,5,3055.05,Periféricos,15275.25
2024-01-10,V-01-816503,Monitor 4K,Sudeste,2,3417.33,Eletrônicos,6834.66
2024-01-23,V-01-823361,Teclado Mecânico,Nordeste,10,2588.95,Periféricos,25889.5
2024-01-21,V-01-941672,Laptop X1,Sudeste,6,1733.78,Eletrônicos,10402.68
2024-01-13,V-01-522041,Mouse Óptico,Centro-Oeste,9,349.22,Periféricos,3142.98
2024-01-19,V-01-500652,Fones Bluetooth,Sul,8,312.88,Acessórios,2503.04
2024-01-13,V-01-703121,Monitor 4K,Nordeste,7,1034.32,Eletrônicos,7240.24
2024-01-25,V-01-763076,Webcam HD,Sudeste,10,3110.78,Acessórios,31107.8
2024-01-23,V-01-878473,Fones Bluetooth,Sul,10,2868.77,Acessórios,28687.7
2024-01-22,V-01-820090,Laptop X1,Norte,8,130.83,Eletrônicos,1046.64
2024-01-11,V-01-632276,Teclado Mecânico,Sudeste,1,1746.61,Periféricos,1746.61
2024-01-12,V-01-570797,Laptop X1,Centro-Oeste,6,1099.64,Eletrônicos,6597.84
2024-01-03,V-01-330389,Laptop X1,Nordeste,1,2444.73,Eletrônicos,2444.73
2024-01-11,V-01-331399,Laptop X1,Sul,9,2900.61,Eletrônicos,26105.49
2024-01-27,V-01-263965,Monitor 4K,Norte,5,1897.25,Eletrônicos,9486.25
2024-01-10,V-01-825089,Mouse Óptico,Centro-Oeste,1,3058.74,Periféricos,3058.74
2024-01-20,V-01-254762,HD Externo 2TB,Sudeste,9,1765.63,Acessórios,15890.67
2024-01-06,V-01-871527,Fones Bluetooth,Sul,5,267.09,Acessórios,1335.45
2024-01-04,V-01-105349,HD Externo 2TB,Nordeste,3,1200.4,Acessórios,3601.2
2024-01-17,V-01-449969,Mouse Óptico,Norte,4,2284.12,Periféricos,9136.48
2024-01-03,V-01-426355,Teclado Mecânico,Centro-Oeste,6,2729.65,Periféricos,16377.9
2024-01-19,V-01-114497,Laptop X1,Norte,6,2207.49,Eletrônicos,13244.94
2024-01-04,V-01-661712,Webcam HD,Sudeste,9,190.82,Acessórios,1717.38
2024-01-09,V-01-831070,Laptop X1,Centro-Oeste,8,285.95,Eletrônicos,2287.6
2024-01-31,V-01-322161,Fones Bluetooth,Sudeste,10,1439.97,Acessórios,14399.7
2024-01-11,V-01-737327,Webcam HD,Sudeste,5,1096.47,Acessórios,5482.35
2024-01-04,V-01-235641,HD Externo 2TB,Nordeste,4,1187.49,Acessórios,4749.96
2024-01-31,V-01-274643,Webcam HD,Sudeste,5,2652.16,Acessórios,13260.8
2024-01-21,V-01-297084,Webcam HD,Sudeste,5,2243.46,Acessórios,11217.3
2024-01-27,V-01-670034,Fones Bluetooth,Norte,10,634.09,Acessórios,6340.9
2024-01-10,V-01-116406,Fones Bluetooth,Centro-Oeste,10,2725.96,Acessórios,27259.6
2024-01-02,V-01-180962,Laptop X1,Nordeste,9,2231.61,Eletrônicos,20084.49
2024-01-12,V-01-226487,Mouse Óptico,Sudeste,3,1350.09,Periféricos,4050.27
2024-01-13,V-01-199629,Mouse Óptico,Centro-Oeste,5,1444.4,Periféricos,7222.0
2024-01-04,V-01-510387,Laptop X1,Sul,5,1163.74,Eletrônicos,5818.7
2024-01-16,V-01-659465,Laptop X1,Nordeste,3,979.24,Eletrônicos,2937.72
2024-01-16,V-01-625790,Fones Bluetooth,Sul,4,678.95,Acessórios,2715.8
