Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-07-22,V-07-369398,Mouse Óptico,Sudeste,3,3358.06,Periféricos,10074.18
2024-07-24,V-07-955061,HD Externo 2TB,Sul,2,488.63,Acessórios,977.26
2024-07-12,V-07-866505,Mouse Óptico,Centro-Oeste,3,804.37,Periféricos,2413.11
2024-07-09,V-07-595949,Fones Bluetooth,Sudeste,3,458.7,Acessórios,1376.1
2024-07-05,V-07-141523,Fones Bluetooth,Sul,3,1020.0,Acessórios,3060.0
2024-07-10,V-07-274547,Teclado Mecânico,Sul,8,3228.45,Periféricos,25827.6
2024-07-26,V-07-316717,Laptop X1,Norte,1,233.46,Eletrônicos,233.46
2024-07-11,V-07-212836,Webcam HD,Sul,4,2412.72,Acessórios,9650.88
2024-07-15,V-07-603082,Laptop X1,Centro-Oeste,6,2816.26,Eletrônicos,16897.56
2024-07-04,V-07-751376,Monitor 4K,Sul,10,2076.46,Eletrônicos,20764.6
2024-07-31,V-07-399440,Fones Bluetooth,Sul,10,247.2,Acessórios,2472.0
2024-07-03,V-07-419854,HD Externo 2TB,Sudeste,7,3412.38,Acessórios,23886.66
2024-07-15,V-07-976966,HD Externo 2TB,Sudeste,6,1181.95,Acessórios,7091.7
2024-07-17,V-07-229997,Webcam HD,Centro-Oeste,8,540.98,Acessórios,4327.84
2024-07-17,V-07-117615,Laptop X1,Norte,5,1971.4,Eletrônicos,9857.0
2024-07-15,V-07-202986,Fones Bluetooth,Sul,4,1395.21,Acessórios,5580.84
2024-07-22,V-07-821210,Monitor 4K,Sudeste,7,2833.5,Eletrônicos,19834.5
2024-07-03,V-07-862732,Laptop X1,Sudeste,9,3450.54,Eletrônicos,31054.86
2024-07-12,V-07-959033,Fones Bluetooth,Sul,9,1192.72,Acessórios,10734.48
2024-07-09,V-07-217946,HD Externo 2TB,Sul,5,2995.42,Acessórios,14977.1
2024-07-18,V-07-402746,Webcam HD,Sul,8,3150.36,Acessórios,25202.88
2024-07-15,V-07-350511,Laptop X1,Norte,6,2757.25,Eletrônicos,16543.5
2024-07-31,V-07-253929,Laptop X1,Sudeste,9,2330.58,Eletrônicos,20975.22
2024-07-19,V-07-732214,Mouse Óptico,Sudeste,8,474.56,Periféricos,3796.48
2024-07-14,V-07-258450,Laptop X1,Centro-Oeste,3,2854.7,Eletrônicos,8564.1
2024-07-04,V-07-564369,Fones Bluetooth,Norte,1,1679.07,Acessórios,1679.07
2024-07-15,V-07-803069,Teclado Mecânico,Sul,6,2413.53,Periféricos,14481.18
2024-07-18,V-07-309091,Fones Bluetooth,Sudeste,5,603.68,Acessórios,3018.4
2024-07-04,V-07-960183,Monitor 4K,Sudeste,4,1872.3,Eletrônicos,7489.2
2024-07-19,V-07-939060,HD Externo 2TB,Sudeste,1,2026.03,Acessórios,2026.03
2024-07-06,V-07-373822,Fones Bluetooth,Sul,9,474.95,Acessórios,4274.55
2024-07-20,V-07-959949,Mouse Óptico,Sudeste,1,1435.61,Periféricos,1435.61
2024-07-04,V-07-577357,Fones Bluetooth,Sul,6,2188.68,Acessórios,13132.08
2024-07-24,V-07-859714,Monitor 4K,Sudeste,9,1023.19,Eletrônicos,9208.71
2024-07-21,V-07-600122,Monitor 4K,Nordeste,2,922.46,Eletrônicos,1844.92
2024-07-04,V-07-703609,Monitor 4K,Sudeste,6,1507.6,Eletrônicos,9045.6
2024-07-22,V-07-157149,Laptop X1,Nordeste,5,679.17,Eletrônicos,3395.85
2024-07-26,V-07-101729,Mouse Óptico,Sudeste,2,3458.68,Periféricos,6917.36
2024-07-03,V-07-363629,Mouse Óptico,Nordeste,5,1457.63,Periféricos,7288.15
