Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-06-11,V-06-215009,Monitor 4K,Sul,7,3276.44,Eletrônicos,22935.08
2024-06-23,V-06-998902,Monitor 4K,Sudeste,2,726.07,Eletrônicos,1452.14
2024-06-02,V-06-945903,Laptop X1,Norte,2,3180.4,Eletrônicos,6360.8
2024-06-28,V-06-918315,Mouse Óptico,Nordeste,6,2749.19,Periféricos,16495.14
2024-06-08,V-06-941965,Laptop X1,Sudeste,5,505.88,Eletrônicos,2529.4
2024-06-16,V-06-480174,Laptop X1,Norte,2,2653.36,Eletrônicos,5306.72
2024-06-17,V-06-624026,Mouse Óptico,Centro-Oeste,7,511.93,Periféricos,3583.51
2024-06-30,V-06-946212,Monitor 4K,Nordeste,9,606.2,Eletrônicos,5455.8
2024-06-16,V-06-710914,HD Externo 2TB,Nordeste,3,533.06,Acessórios,1599.18
2024-06-02,V-06-847990,Webcam HD,Norte,6,514.13,Acessórios,3084.78
2024-06-25,V-06-299728,Teclado Mecânico,Norte,2,1220.6,Periféricos,2441.2
2024-06-12,V-06-906719,Webcam HD,Centro-Oeste,10,1762.31,Acessórios,17623.1
2024-06-28,V-06-459335,Laptop X1,Sul,5,149.23,Eletrônicos,746.15
2024-06-15,V-06-856622,Fones Bluetooth,Nordeste,8,488.85,Acessórios,3910.8
2024-06-20,V-06-641331,Mouse Óptico,Sul,3,154.86,Periféricos,464.58
2024-06-16,V-06-633250,Laptop X1,Nordeste,3,2369.78,Eletrônicos,7109.34
2024-06-09,V-06-609416,Laptop X1,Sudeste,4,1381.41,Eletrônicos,5525.64
2024-06-03,V-06-403089,Teclado Mecânico,Centro-Oeste,6,1021.4,Periféricos,6128.4
2024-06-30,V-06-986200,Mouse Óptico,Centro-Oeste,5,2736.85,Periféricos,13684.25
2024-06-08,V-06-264659,Laptop X1,Centro-Oeste,5,1909.65,Eletrônicos,9548.25
2024-06-15,V-06-391125,HD Externo 2TB,Sul,5,1338.71,Acessórios,6693.55
2024-06-30,V-06-471891,HD Externo 2TB,Nordeste,2,3454.43,Acessórios,6908.86
2024-06-03,V-06-234441,Laptop X1,Sul,6,2912.95,Eletrônicos,17477.7
2024-06-19,V-06-701758,Laptop X1,Nordeste,6,2745.55,Eletrônicos,16473.3
2024-06-27,V-06-379252,Teclado Mecânico,Sudeste,5,1268.3,Periféricos,6341.5
2024-06-01,V-06-802786,Teclado Mecânico,Sul,6,2719.98,Periféricos,16319.88
2024-06-26,V-06-293195,Monitor 4K,Sudeste,10,3147.29,Eletrônicos,31472.9
2024-06-22,V-06-209640,Mouse Óptico,Norte,2,1693.72,Periféricos,3387.44
2024-06-25,V-06-938572,Teclado Mecânico,Nordeste,10,334.37,Periféricos,3343.7
2024-06-30,V-06-865688,HD Externo 2TB,Sudeste,9,47.11,Acessórios,423.99
2024-06-05,V-06-692215,Monitor 4K,Norte,6,3402.0,Eletrônicos,20412.0
2024-06-28,V-06-840649,HD Externo 2TB,Sul,1,634.29,Acessórios,634.29
