Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-05-11,V-05-979462,HD Externo 2TB,Nordeste,9,134.28,Acessórios,1208.52
2024-05-24,V-05-937325,Mouse Óptico,Sul,7,2908.0,Periféricos,20356.0
2024-05-24,V-05-674828,Laptop X1,Norte,10,185.86,Eletrônicos,1858.6
2024-05-17,V-05-558905,Fones Bluetooth,Nordeste,6,3410.61,Acessórios,20463.66
2024-05-07,V-05-605914,Mouse Óptico,Sudeste,7,3053.27,Periféricos,21372.89
2024-05-04,V-05-830023,HD Externo 2TB,Sudeste,10,1324.39,Acessórios,13243.9
2024-05-02,V-05-426111,Teclado Mecânico,Sudeste,6,545.46,Periféricos,3272.76
2024-05-16,V-05-543294,Fones Bluetooth,Sudeste,7,2887.13,Acessórios,20209.91
2024-05-27,V-05-786737,Webcam HD,Norte,1,3299.83,Acessórios,3299.83
2024-05-27,V-05-945918,Monitor 4K,Sul,2,1031.87,Eletrônicos,2063.74
2024-05-30,V-05-138115,Fones Bluetooth,Norte,7,1277.96,Acessórios,8945.72
2024-05-25,V-05-111389,Webcam HD,Sudeste,8,725.23,Acessórios,5801.84
2024-05-04,V-05-696671,Mouse Óptico,Centro-Oeste,8,673.18,Periféricos,5385.44
2024-05-12,V-05-258108,Monitor 4K,Sul,6,2481.87,Eletrônicos,14891.22
2024-05-13,V-05-302293,Laptop X1,Nordeste,4,715.72,Eletrônicos,2862.88
2024-05-05,V-05-657234,Fones Bluetooth,Sul,9,2043.89,Acessórios,18395.01
2024-05-08,V-05-882700,Mouse Óptico,Sudeste,4,859.62,Periféricos,3438.48
2024-05-01,V-05-399705,Monitor 4K,Nordeste,5,1394.02,Eletrônicos,6970.1
2024-05-10,V-05-903688,Fones Bluetooth,Centro-Oeste,5,283.55,Acessórios,1417.75
2024-05-18,V-05-605259,Webcam HD,Sul,7,362.66,Acessórios,2538.62
2024-05-11,V-05-892072,HD Externo 2TB,Sudeste,1,2494.17,Acessórios,2494.17
2024-05-01,V-05-952874,Laptop X1,Centro-Oeste,5,394.14,Eletrônicos,1970.7
2024-05-14,V-05-780778,Teclado Mecânico,Sudeste,8,1220.74,Periféricos,9765.92
2024-05-11,V-05-349860,Teclado Mecânico,Nordeste,7,2590.02,Periféricos,18130.14
2024-05-14,V-05-149565,Monitor 4K,Nordeste,4,400.75,Eletrônicos,1603.0
2024-05-24,V-05-667804,Laptop X1,Sudeste,8,3164.13,Eletrônicos,25313.04
2024-05-08,V-05-327309,Mouse Óptico,Sudeste,6,38.16,Periféricos,228.96
2024-05-30,V-05-224448,Fones Bluetooth,Sul,7,890.56,Acessórios,6233.92
2024-05-09,V-05-260204,Fones Bluetooth,Centro-Oeste,5,1114.14,Acessórios,5570.7
2024-05-29,V-05-220089,Webcam HD,Sul,10,376.28,Acessórios,3762.8
2024-05-19,V-05-501217,Webcam HD,Sul,8,2317.29,Acessórios,18538.32
2024-05-27,V-05-486263,Webcam HD,Sudeste,3,1556.23,Acessórios,4668.69
2024-05-15,V-05-872299,Laptop X1,Nordeste,6,981.88,Eletrônicos,5891.28
2024-05-23,V-05-255016,Laptop X1,Sul,3,2297.92,Eletrônicos,6893.76
2024-05-16,V-05-115746,Mouse Óptico,Nordeste,5,861.14,Periféricos,4305.7
2024-05-06,V-05-618289,Monitor 4K,Centro-Oeste,1,2928.72,Eletrônicos,2928.72
2024-05-06,V-05-602795,Monitor 4K,Nordeste,8,969.99,Eletrônicos,7759.92
2024-05-06,V-05-808925,Monitor 4K,Sudeste,7,1468.85,Eletrônicos,10281.95
2024-05-16,V-05-183119,Laptop X1,Centro-Oeste,6,3261.71,Eletrônicos,19570.26
2024-05-25,V-05-938339,HD Externo 2TB,Nordeste,2,612.18,Acessórios,1224.36
2024-05-27,V-05-371628,Fones Bluetooth,Sul,8,1526.02,Acessórios,12208.16
2024-05-30,V-05-878178,Fones Bluetooth,Nordeste,6,2255.74,Acessórios,13534.44
2024-05-08,V-05-654663,HD Externo 2TB,Sul,5,2405.8,Acessórios,12029.0
2024-05-14,V-05-304693,Laptop X1,Nordeste,6,925.72,Eletrônicos,5554.32
2024-05-05,V-05-224716,Laptop X1,Sudeste,7,1321.62,Eletrônicos,9251.34
2024-05-21,V-05-122291,Laptop X1,Centro-Oeste,3,407.41,Eletrônicos,1222.23
2024-05-14,V-05-349490,Webcam HD,Sul,3,1460.88,Acessórios,4382.64
2024-05-19,V-05-298585,Mouse Óptico,Norte,8,1420.81,Periféricos,11366.48
2024-05-06,V-05-217109,Laptop X1,Centro-Oeste,3,2411.69,Eletrônicos,7235.07
2024-05-27,V-05-357574,Fones Bluetooth,Nordeste,7,2552.13,Acessórios,17864.91
2024-05-08,V-05-628371,Monitor 4K,Norte,6,861.41,Eletrônicos,5168.46
2024-05-22,V-05-417855,Teclado Mecânico,Norte,9,2193.59,Periféricos,19742.31
2024-05-09,V-05-532936,HD Externo 2TB,Sudeste,3,1027.01,Acessórios,3081.03
