Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-11-23,V-11-992191,Laptop X1,Sudeste,5,972.98,Eletrônicos,4864.9
2024-11-16,V-11-500278,Webcam HD,Sudeste,8,2671.91,Acessórios,21375.28
2024-11-01,V-11-919674,Fones Bluetooth,Sudeste,8,3066.15,Acessórios,24529.2
2024-11-27,V-11-247378,Laptop X1,Norte,7,2126.07,Eletrônicos,14882.49
2024-11-07,V-11-461784,Mouse Óptico,Centro-Oeste,3,3100.21,Periféricos,9300.63
2024-11-05,V-11-318404,HD Externo 2TB,Nordeste,4,3499.76,Acessórios,13999.04
2024-11-02,V-11-710832,Teclado Mecânico,Sudeste,7,3139.46,Periféricos,21976.22
2024-11-30,V-11-102339,Monitor 4K,Sudeste,1,696.74,Eletrônicos,696.74
2024-11-16,V-11-819619,Mouse Óptico,Norte,9,2494.89,Periféricos,22454.01
2024-11-19,V-11-503929,Fones Bluetooth,Sudeste,4,1579.71,Acessórios,6318.84
2024-11-21,V-11-296468,Monitor 4K,Centro-Oeste,1,3350.6,Eletrônicos,3350.6
2024-11-07,V-11-825941,Monitor 4K,Sudeste,7,735.3,Eletrônicos,5147.1
2024-11-19,V-11-220798,HD Externo 2TB,Norte,3,2139.79,Acessórios,6419.37
2024-11-06,V-11-259732,Webcam HD,Sul,2,1664.84,Acessórios,3329.68
2024-11-06,V-11-387351,Fones Bluetooth,Centro-Oeste,2,2702.5,Acessórios,5405.0
2024-11-13,V-11-134433,Teclado Mecânico,Sul,4,1743.56,Periféricos,6974.24
2024-11-18,V-11-842898,Monitor 4K,Sudeste,9,1146.88,Eletrônicos,10321.92
2024-11-08,V-11-617123,Webcam HD,Nordeste,9,737.46,Acessórios,6637.14
2024-11-03,V-11-899754,Laptop X1,Centro-Oeste,3,2076.63,Eletrônicos,6229.89
2024-11-03,V-11-249076,Laptop X1,Sul,6,1099.12,Eletrônicos,6594.72
2024-11-15,V-11-538248,Laptop X1,Sul,1,652.46,Eletrônicos,652.46
2024-11-03,V-11-980143,Monitor 4K,Sul,3,3073.32,Eletrônicos,9219.96
2024-11-15,V-11-370979,Webcam HD,Sul,6,715.46,Acessórios,4292.76
2024-11-06,V-11-686360,Laptop X1,Norte,9,2248.15,Eletrônicos,20233.35
2024-11-21,V-11-786248,Monitor 4K,Sudeste,2,351.82,Eletrônicos,703.64
2024-11-18,V-11-878461,Laptop X1,Sudeste,6,1411.05,Eletrônicos,8466.3
2024-11-16,V-11-378392,Fones Bluetooth,Sudeste,5,919.48,Acessórios,4597.4
2024-11-05,V-11-372198,Webcam HD,Sudeste,3,2656.26,Acessórios,7968.78
2024-11-14,V-11-533053,Laptop X1,Sul,2,2088.75,Eletrônicos,4177.5
2024-11-25,V-11-324686,Mouse Óptico,Sudeste,3,3089.99,Periféricos,9269.97
2024-11-24,V-11-235514,Mouse Óptico,Sudeste,8,1751.42,Periféricos,14011.36
2024-11-26,V-11-547095,Mouse Óptico,Nordeste,4,2133.12,Periféricos,8532.48
2024-11-14,V-11-465839,Laptop X1,Sudeste,3,1547.58,Eletrônicos,4642.74
2024-11-21,V-11-240135,Teclado Mecânico,Nordeste,1,2586.89,Periféricos,2586.89
2024-11-10,V-11-863347,Monitor 4K,Nordeste,10,1575.84,Eletrônicos,15758.4
2024-11-14,V-11-326807,Webcam HD,Sudeste,2,3060.56,Acessórios,6121.12
2024-11-07,V-11-939577,Laptop X1,Norte,2,1686.06,Eletrônicos,3372.12
2024-11-13,V-11-381820,Fones Bluetooth,Sudeste,8,551.85,Acessórios,4414.8
2024-11-13,V-11-488105,Fones Bluetooth,Nordeste,7,2492.44,Acessórios,17447.08
2024-11-23,V-11-694872,Teclado Mecânico,Sul,1,2180.9,Periféricos,2180.9
2024-11-25,V-11-785776,Mouse Óptico,Sudeste,10,1007.35,Periféricos,10073.5
2024-11-06,V-11-271256,Laptop X1,Nordeste,2,3450.9,Eletrônicos,6901.8
2024-11-13,V-11-451566,Mouse Óptico,Sudeste,6,234.41,Periféricos,1406.46
2024-11-04,V-11-628686,Webcam HD,Norte,4,2835.07,Acessórios,11340.28
2024-11-01,V-11-326815,Teclado Mecânico,Norte,8,1467.68,Periféricos,11741.44
2024-11-01,V-11-512709,Teclado Mecânico,Centro-Oeste,8,1625.98,Periféricos,13007.84
2024-11-07,V-11-714086,HD Externo 2TB,Nordeste,1,502.33,Acessórios,502.33
2024-11-24,V-11-106237,Mouse Óptico,Sul,8,1908.36,Periféricos,15266.88
2024-11-26,V-11-450250,Monitor 4K,Nordeste,2,115.62,Eletrônicos,231.24
2024-11-26,V-11-231611,Mouse Óptico,Nordeste,3,2682.02,Periféricos,8046.06
2024-11-22,V-11-604362,HD Externo 2TB,Nordeste,7,1230.43,Acessórios,8613.01
2024-11-27,V-11-847110,Laptop X1,Centro-Oeste,9,273.8,Eletrônicos,2464.2
2024-11-19,V-11-583611,Monitor 4K,Sudeste,5,591.08,Eletrônicos,2955.4
2024-11-18,V-11-753723,HD Externo 2TB,Sudeste,1,67.23,Acessórios,67.23
2024-11-19,V-11-204113,Monitor 4K,Sul,9,2447.78,Eletrônicos,22030.02
2024-11-19,V-11-342707,Laptop X1,Sul,3,3025.13,Eletrônicos,9075.39
2024-11-20,V-11-285772,HD Externo 2TB,Sul,8,1130.96,Acessórios,9047.68
2024-11-11,V-11-471988,Monitor 4K,Sudeste,2,1960.26,Eletrônicos,3920.52
2024-11-26,V-11-104620,Laptop X1,Sudeste,2,3386.58,Eletrônicos,6773.16
2024-11-22,V-11-811773,Webcam HD,Nordeste,3,831.55,Acessórios,2494.65
2024-11-04,V-11-741556,Laptop X1,Sudeste,3,3156.02,Eletrônicos,9468.06
2024-11-21,V-11-832117,HD Externo 2TB,Nordeste,1,1526.59,Acessórios,1526.59
2024-11-30,V-11-880742,Mouse Óptico,Sudeste,4,1288.0,Periféricos,5152.0
2024-11-27,V-11-965042,Fones Bluetooth,Centro-Oeste,4,554.07,Acessórios,2216.28
2024-11-28,V-11-112012,Fones Bluetooth,Sul,8,1233.47,Acessórios,9867.76
2024-11-15,V-11-936792,Laptop X1,Sudeste,1,2464.53,Eletrônicos,2464.53
2024-11-08,V-11-510575,Monitor 4K,Sudeste,9,463.93,Eletrônicos,4175.37
2024-11-30,V-11-728777,Fones Bluetooth,Sudeste,9,3415.28,Acessórios,30737.52
2024-11-16,V-11-580949,Teclado Mecânico,Nordeste,2,1109.49,Periféricos,2218.98
2024-11-21,V-11-931877,Webcam HD,Sul,7,2758.56,Acessórios,19309.92
2024-11-25,V-11-931349,Monitor 4K,Sudeste,4,1133.98,Eletrônicos,4535.92
2024-11-01,V-11-400214,Laptop X1,Sudeste,9,324.55,Eletrônicos,2920.95
2024-11-03,V-11-794568,Fones Bluetooth,Norte,10,699.14,Acessórios,6991.4
2024-11-03,V-11-480374,HD Externo 2TB,Sul,10,3382.98,Acessórios,33829.8
2024-11-03,V-11-375463,Mouse Óptico,Sudeste,8,1025.57,Periféricos,8204.56
2024-11-11,V-11-720443,Fones Bluetooth,Centro-Oeste,1,2783.87,Acessórios,2783.87
2024-11-09,V-11-111724,Laptop X1,Centro-Oeste,6,929.7,Eletrônicos,5578.2
2024-11-09,V-11-517580,Monitor 4K,Sudeste,7,3282.47,Eletrônicos,22977.29
2024-11-06,V-11-988854,Fones Bluetooth,Norte,3,720.25,Acessórios,2160.75
2024-11-07,V-11-512825,Laptop X1,Norte,4,3295.67,Eletrônicos,13182.68
2024-11-27,V-11-708710,Webcam HD,Sudeste,10,2017.02,Acessórios,20170.2
2024-11-19,V-11-480304,Mouse Óptico,Sul,5,1514.7,Periféricos,7573.5
2024-11-23,V-11-360848,Laptop X1,Centro-Oeste,7,2450.51,Eletrônicos,17153.57
2024-11-10,V-11-405030,Fones Bluetooth,Nordeste,9,3350.88,Acessórios,30157.92
2024-11-10,V-11-224579,Teclado Mecânico,Nordeste,4,2232.54,Periféricos,8930.16
2024-11-15,V-11-670447,Monitor 4K,Sul,7,2970.85,Eletrônicos,20795.95
2024-11-22,V-11-235907,Fones Bluetooth,Sudeste,2,1278.93,Acessórios,2557.86
2024-11-19,V-11-667968,Fones Bluetooth,Sudeste,10,337.78,Acessórios,3377.8
2024-11-25,V-11-685590,Mouse Óptico,Centro-Oeste,3,135.75,Periféricos,407.25
2024-11-26,V-11-849034,Teclado Mecânico,Sudeste,4,1206.62,Periféricos,4826.48
2024-11-24,V-11-933262,Teclado Mecânico,Nordeste,10,1893.01,Periféricos,18930.1
2024-11-24,V-11-115147,HD Externo 2TB,Sul,10,1572.99,Acessórios,15729.9
2024-11-29,V-11-519447,Fones Bluetooth,Sul,2,2431.97,Acessórios,4863.94
2024-11-28,V-11-368432,Mouse Óptico,Sul,1,1135.57,Periféricos,1135.57
2024-11-03,V-11-408181,Fones Bluetooth,Sudeste,10,2209.03,Acessórios,22090.3
2024-11-16,V-11-523114,Webcam HD,Centro-Oeste,5,866.95,Acessórios,4334.75
2024-11-12,V-11-163499,Monitor 4K,Sudeste,7,1814.63,Eletrônicos,12702.41
