Data,ID_Transacao,Produto,Região,Quantidade,Preco_Unitario,Categoria,Receita_Total
2024-09-17,V-09-190980,Monitor 4K,Sudeste,7,3042.41,Eletrônicos,21296.87
2024-09-28,V-09-641266,Mouse Óptico,Sudeste,1,3439.94,Periféricos,3439.94
2024-09-25,V-09-588713,Webcam HD,Sul,8,455.11,Acessórios,3640.88
2024-09-22,V-09-331504,Webcam HD,Centro-Oeste,5,238.31,Acessórios,1191.55
2024-09-11,V-09-120371,Teclado Mecânico,Sudeste,3,362.96,Periféricos,1088.88
2024-09-24,V-09-191896,Laptop X1,Sudeste,10,1200.22,Eletrônicos,12002.2
2024-09-06,V-09-696590,Laptop X1,Sul,9,1569.06,Eletrônicos,14121.54
2024-09-03,V-09-302630,Mouse Óptico,Norte,6,1410.05,Periféricos,8460.3
2024-09-23,V-09-248291,Mouse Óptico,Sudeste,6,462.97,Periféricos,2777.82
2024-09-02,V-09-864734,Mouse Óptico,Sul,9,747.23,Periféricos,6725.07
2024-09-09,V-09-842458,Laptop X1,Sudeste,6,2996.53,Eletrônicos,17979.18
2024-09-23,V-09-459505,Teclado Mecânico,Sudeste,10,445.4,Periféricos,4454.0
2024-09-17,V-09-731544,HD Externo 2TB,Centro-Oeste,3,1299.81,Acessórios,3899.43
2024-09-18,V-09-964064,Teclado Mecânico,Sudeste,5,1079.11,Periféricos,5395.55
2024-09-04,V-09-150328,Fones Bluetooth,Sudeste,5,2381.19,Acessórios,11905.95
2024-09-25,V-09-488243,Webcam HD,Nordeste,10,1098.28,Acessórios,10982.8
2024-09-20,V-09-776862,Laptop X1,Sudeste,1,1136.0,Eletrônicos,1136.0
2024-09-25,V-09-120828,Teclado Mecânico,Sul,3,1578.82,Periféricos,4736.46
2024-09-04,V-09-912690,Webcam HD,Sudeste,2,950.98,Acessórios,1901.96
2024-09-11,V-09-375468,Monitor 4K,Centro-Oeste,10,1649.38,Eletrônicos,16493.8
2024-09-18,V-09-359114,Laptop X1,Nordeste,2,1472.44,Eletrônicos,2944.88
2024-09-21,V-09-661658,Monitor 4K,Centro-Oeste,2,2902.13,Eletrônicos,5804.26
2024-09-11,V-09-578929,Mouse Óptico,Sudeste,10,3296.04,Periféricos,32960.4
2024-09-01,V-09-802410,Laptop X1,Centro-Oeste,8,2130.76,Eletrônicos,17046.08
2024-09-19,V-09-263364,Teclado Mecânico,Sudeste,9,1229.01,Periféricos,11061.09
2024-09-22,V-09-515199,HD Externo 2TB,Sudeste,4,488.53,Acessórios,1954.12
2024-09-13,V-09-795982,Fones Bluetooth,Sul,1,3139.73,Acessórios,3139.73
2024-09-14,V-09-829841,HD Externo 2TB,Nordeste,2,147.53,Acessórios,295.06
2024-09-04,V-09-452491,Teclado Mecânico,Nordeste,1,923.62,Periféricos,923.62
2024-09-08,V-09-625384,Monitor 4K,Sudeste,9,3177.4,Eletrônicos,28596.6
2024-09-06,V-09-952711,Laptop X1,Centro-Oeste,5,2100.89,Eletrônicos,10504.45
2024-09-17,V-09-562210,Mouse Óptico,Sudeste,4,1521.37,Periféricos,6085.48
2024-09-14,V-09-357939,Mouse Óptico,Sul,3,2142.85,Periféricos,6428.55
2024-09-06,V-09-287559,Mouse Óptico,Sudeste,9,1465.42,Periféricos,13188.78
2024-09-30,V-09-225074,Laptop X1,Centro-Oeste,3,299.62,Eletrônicos,898.86
2024-09-05,V-09-864120,Webcam HD,Nordeste,2,1865.47,Acessórios,3730.94
2024-09-26,V-09-141011,Laptop X1,Sudeste,8,281.51,Eletrônicos,2252.08
2024-09-23,V-09-963197,Monitor 4K,Sudeste,1,431.03,Eletrônicos,431.03
2024-09-16,V-09-541652,Laptop X1,Centro-Oeste,7,696.26,Eletrônicos,4873.82
2024-09-28,V-09-307112,Webcam HD,Sudeste,7,646.59,Acessórios,4526.13
2024-09-03,V-09-906896,Monitor 4K,Centro-Oeste,9,376.24,Eletrônicos,3386.16
2024-09-22,V-09-170389,Laptop X1,Centro-Oeste,8,112.52,Eletrônicos,900.16
2024-09-07,V-09-200841,Teclado Mecânico,Norte,3,320.04,Periféricos,960.12
2024-09-07,V-09-725004,HD Externo 2TB,Norte,9,318.51,Acessórios,2866.59
2024-09-07,V-09-256485,Teclado Mecânico,Norte,3,1382.04,Periféricos,4146.12
2024-09-06,V-09-933021,Laptop X1,Sul,4,747.75,Eletrônicos,2991.0
2024-09-17,V-09-146808,Laptop X1,Sul,7,470.49,Eletrônicos,3293.43
2024-09-30,V-09-435538,Teclado Mecânico,Sudeste,7,960.65,Periféricos,6724.55
2024-09-08,V-09-674669,Laptop X1,Sul,4,1918.27,Eletrônicos,7673.08
2024-09-28,V-09-748965,Teclado Mecânico,Centro-Oeste,1,1659.64,Periféricos,1659.64
2024-09-11,V-09-238842,Fones Bluetooth,Sul,4,2975.66,Acessórios,11902.64
2024-09-21,V-09-466013,Mouse Óptico,Sudeste,10,3316.22,Periféricos,33162.2
2024-09-20,V-09-298370,Monitor 4K,Sul,5,3231.97,Eletrônicos,16159.85
2024-09-10,V-09-976009,Mouse Óptico,Sul,7,933.98,Periféricos,6537.86
2024-09-19,V-09-797693,Teclado Mecânico,Sul,1,1492.88,Periféricos,1492.88
2024-09-08,V-09-698744,Teclado Mecânico,Nordeste,4,3381.69,Periféricos,13526.76
2024-09-11,V-09-705997,Webcam HD,Nordeste,6,1240.15,Acessórios,7440.9
2024-09-06,V-09-628687,Fones Bluetooth,Sudeste,7,3421.23,Acessórios,23948.61
2024-09-01,V-09-414377,Webcam HD,Nordeste,2,318.29,Acessórios,636.58
2024-09-21,V-09-664125,HD Externo 2TB,Sudeste,8,1059.34,Acessórios,8474.72
2024-09-04,V-09-663183,Mouse Óptico,Sudeste,2,1874.59,Periféricos,3749.18
2024-09-09,V-09-348261,Teclado Mecânico,Sul,2,583.08,Periféricos,1166.16
2024-09-15,V-09-404347,Mouse Óptico,Centro-Oeste,8,2622.56,Periféricos,20980.48
2024-09-09,V-09-356884,Mouse Óptico,Sudeste,4,2214.34,Periféricos,8857.36
2024-09-19,V-09-295376,Mouse Óptico,Centro-Oeste,10,899.27,Periféricos,8992.7
2024-09-23,V-09-892866,Fones Bluetooth,Centro-Oeste,3,3468.66,Acessórios,10405.98
2024-09-18,V-09-401398,Fones Bluetooth,Nordeste,5,2727.18,Acessórios,13635.9
2024-09-17,V-09-186604,Mouse Óptico,Sudeste,6,1830.09,Periféricos,10980.54
2024-09-22,V-09-530447,Webcam HD,Sul,10,1569.65,Acessórios,15696.5
2024-09-16,V-09-560252,Monitor 4K,Sul,3,364.69,Eletrônicos,1094.07
2024-09-13,V-09-158068,Mouse Óptico,Sul,4,2797.1,Periféricos,11188.4
2024-09-19,V-09-180614,Teclado Mecânico,Norte,4,389.9,Periféricos,1559.6
2024-09-26,V-09-130116,Webcam HD,Centro-Oeste,2,2438.06,Acessórios,4876.12
2024-09-16,V-09-201865,Laptop X1,Centro-Oeste,8,991.2,Eletrônicos,7929.6
2024-09-11,V-09-800401,Mouse Óptico,Sudeste,9,1686.08,Periféricos,15174.72
2024-09-28,V-09-986057,Teclado Mecânico,Sudeste,10,1997.52,Periféricos,19975.2
2024-09-07,V-09-133984,Teclado Mecânico,Sudeste,3,1361.32,Periféricos,4083.96
2024-09-06,V-09-895313,Webcam HD,Norte,10,2795.48,Acessórios,27954.8
2024-09-14,V-09-626713,Laptop X1,Sudeste,5,1928.64,Eletrônicos,9643.2
2024-09-18,V-09-988697,Teclado Mecânico,Norte,3,1245.87,Periféricos,3737.61
2024-09-29,V-09-658820,Fones Bluetooth,Sul,10,2334.49,Acessórios,23344.9
2024-09-29,V-09-290883,Teclado Mecânico,Sudeste,4,753.25,Periféricos,3013.0
2024-09-08,V-09-158123,Monitor 4K,Sul,2,365.43,Eletrônicos,730.86
2024-09-25,V-09-309487,Mouse Óptico,Sudeste,9,958.3,Periféricos,8624.7
2024-09-13,V-09-330418,Fones Bluetooth,Centro-Oeste,5,756.23,Acessórios,3781.15
2024-09-17,V-09-360904,Fones Bluetooth,Norte,8,3477.43,Acessórios,27819.44
2024-09-24,V-09-868829,Teclado Mecânico,Sudeste,5,3021.73,Periféricos,15108.65
2024-09-23,V-09-681828,Laptop X1,Norte,1,2916.96,Eletrônicos,2916.96
2024-09-29,V-09-181940,Laptop X1,Sudeste,9,1949.96,Eletrônicos,17549.64
2024-09-11,V-09-416639,Fones Bluetooth,Nordeste,2,3045.94,Acessórios,6091.88
2024-09-05,V-09-425072,Fones Bluetooth,Sudeste,10,195.05,Acessórios,1950.5
2024-09-30,V-09-368295,HD Externo 2TB,Sul,10,3376.09,Acessórios,33760.9
2024-09-10,V-09-680871,Teclado Mecânico,Sul,1,3231.11,Periféricos,3231.11
2024-09-17,V-09-597324,Mouse Óptico,Nordeste,9,1907.13,Periféricos,17164.17
2024-09-04,V-09-929575,Fones Bluetooth,Sudeste,3,538.22,Acessórios,1614.66
2024-09-29,V-09-601895,Monitor 4K,Nordeste,2,2278.59,Eletrônicos,4557.18
2024-09-20,V-09-306023,Mouse Óptico,Sudeste,5,173.35,Periféricos,866.75
2024-09-23,V-09-665927,Teclado Mecânico,Sudeste,9,1068.61,Periféricos,9617.49
2024-09-25,V-09-288280,Monitor 4K,Sudeste,5,1602.56,Eletrônicos,8012.8
2024-09-09,V-09-101555,Mouse Óptico,Sudeste,2,1887.93,Periféricos,3775.86
2024-09-21,V-09-463860,Laptop X1,Sul,8,2610.55,Eletrônicos,20884.4
2024-09-25,V-09-763666,Monitor 4K,Sul,3,508.7,Eletrônicos,1526.1
2024-09-12,V-09-561063,Mouse Óptico,Sudeste,5,474.64,Periféricos,2373.2
2024-09-14,V-09-594848,Teclado Mecânico,Norte,7,550.1,Periféricos,3850.7
2024-09-13,V-09-233863,Mouse Óptico,Sudeste,7,1070.13,Periféricos,7490.91
2024-09-28,V-09-481429,Monitor 4K,Nordeste,10,702.8,Eletrônicos,7028.0
